cafe_idx,hub_idx,dist_km,geonameid_cafe,city_cafe,country_cafe,lat_cafe,lon_cafe,population,poi_student,poi_activity,poi_logistics,poi_transit,pop_norm,student_norm,activity_norm,logistics_norm,transit_norm,demand_factor,hub_score_cafe,fixed_cost_proxy,base_weight,geonameid_hub,city_hub,country_hub,lat_hub,lon_hub,hub_score_hub,city_key,rent_score_city,rent_score_country,rent_source_used,rent_score_used,rent_n,labour_n,tax_n,fixed_mult,fixed_cost_hub,fixed_cost_dc,hub_score_n,fixed_cost_hub_eff,fixed_cost_dc_eff
27,19,512.720438010386,2867714,Munich,DE,48.13743,11.57549,1260391,589,1665,91,2665,0.05022225829262698,0.1643918713982408,0.5213788531653961,0.0240641711229946,0.355618203785743,1.2029108934720238,0.1235303809218191,1.24872934790026,1.0079057478952096,3081368,Wrocław,PL,51.10286,17.03006,0.1161766644196579,wroc aw,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.15236988049546302,1216.826541786571,7357.4421950945925
28,19,215.9794377245476,3067696,Prague,CZ,50.08804,14.42076,1165581,627,1089,274,2363,0.043986740530904914,0.1759175007582651,0.3304607225720914,0.0729946524064171,0.3150758491072627,1.171642644969377,0.1456190114166708,1.1673736814535605,0.9689212805106523,3081368,Wrocław,PL,51.10286,17.03006,0.1161766644196579,wroc aw,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.15236988049546302,1216.826541786571,7357.4421950945925
29,1,460.33103827836135,2655603,Birmingham,GB,52.48142,-1.89983,1157603,681,700,106,5374,0.043462038909736066,0.1922960266909311,0.2015246934040437,0.0280748663101604,0.7192911800241644,1.1556825546953675,0.2354397604243616,1.1153795084894065,0.9546614763006038,2759794,Amsterdam,NL,52.37403,4.88969,0.7624647603705195,amsterdam,,,global,0.011844032802657226,0.48382676042477507,0.6954643628509719,0.6261310170104958,1.5932941071751356,1593.2941071751357,9559.764643050814,1.0,1433.964696457622,9081.776410898272
30,19,588.1315500267383,2618425,Copenhagen,DK,55.67594,12.56553,1153615,310,2005,699,2601,0.04319975386771784,0.0797694874127995,0.6340735830294995,0.1866310160427807,0.3470264465028863,1.1746764090535795,0.2347496451808124,1.2881892363059742,0.9698123373445109,3081368,Wrocław,PL,51.10286,17.03006,0.1161766644196579,wroc aw,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.15236988049546302,1216.826541786571,7357.4421950945925
31,0,501.98776008620115,727011,Sofia,BG,42.69751,23.32415,1152556,326,837,27,1887,0.04313010495610869,0.0846223839854413,0.2469340404375207,0.006951871657754,0.2511746543160156,1.100160238478769,0.0802187064552324,1.1332777001398953,0.9081577253287987,745044,Istanbul,TR,41.01384,28.94966,0.1649921605957947,istanbul,-0.3990074482222473,-0.7333530118949918,city,-0.3990074482222473,0.24006525536254764,0.03455723542116631,0.5971769815418023,1.1832978190068517,1183.2978190068518,7099.78691404111,0.216393162243481,1157.692063313781,7022.969646961898
32,19,1055.38508780105,3143244,Oslo,NO,59.91273,10.74609,1082575,300,896,1370,1867,0.038527554924645005,0.0767364270548983,0.266489890619821,0.3660427807486631,0.2484897301651228,1.0993398343569032,0.330776865573601,1.1374180001876444,0.8986259085034899,3081368,Wrocław,PL,51.10286,17.03006,0.1161766644196579,wroc aw,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.15236988049546302,1216.826541786571,7357.4421950945925
33,1,754.674959484182,2964574,Dublin,IE,53.33306,-6.24889,1024027,525,817,222,3421,0.03467693691058211,0.1449802851076736,0.2403049386808087,0.059090909090909,0.4571083366894885,1.1350491588007658,0.1784961373704829,1.1238635250007891,0.9201669182233254,2759794,Amsterdam,NL,52.37403,4.88969,0.7624647603705195,amsterdam,,,global,0.011844032802657226,0.48382676042477507,0.6954643628509719,0.6261310170104958,1.5932941071751356,1593.2941071751357,9559.764643050814,1.0,1433.964696457622,9081.776410898272
34,1,173.4812691642007,2800866,Brussels,BE,50.85045,4.34878,1019022,837,1158,117,2627,0.03434776523673527,0.2396117682741886,0.3533311236327477,0.0310160427807486,0.3505168478990468,1.214433285691063,0.1268662843162381,1.1688106616424874,0.9838228357053362,2759794,Amsterdam,NL,52.37403,4.88969,0.7624647603705195,amsterdam,,,global,0.011844032802657226,0.48382676042477507,0.6954643628509719,0.6261310170104958,1.5932941071751356,1593.2941071751357,9559.764643050814,1.0,1433.964696457622,9081.776410898272
35,0,625.231555837232,698740,Odesa,UA,46.48572,30.74383,1015826,276,369,66,709,0.034137568899149956,0.0694570821959357,0.0918130593304607,0.017379679144385,0.0930326218284333,1.0600368611836537,0.0400755619495995,1.0640352788515042,0.8583550383102577,745044,Istanbul,TR,41.01384,28.94966,0.1649921605957947,istanbul,-0.3990074482222473,-0.7333530118949918,city,-0.3990074482222473,0.24006525536254764,0.03455723542116631,0.5971769815418023,1.1832978190068517,1183.2978190068518,7099.78691404111,0.216393162243481,1157.692063313781,7022.969646961898
36,44,0.0,709930,Dnipro,UA,48.46664,35.04066,968502,241,292,304,508,0.03102513727215138,0.0588413709432817,0.0662910175671196,0.0810160427807486,0.0660491341119613,1.048563026079393,0.0765259701801124,1.051336516844569,0.843352940249122,709930,Dnipro,UA,48.46664,35.04066,0.0765259701801124,dnipro,-0.6957218116486716,-0.7865517503463348,city,-0.6957218116486716,0.06402222486895265,0.4269772703897975,0.40394605181920745,1.2613443780483584,1261.3443780483585,7568.06626829015,0.10036656663702678,1248.6846975911956,7530.087226918661
37,1,214.14527018892784,2886242,Köln,DE,50.93333,6.95,963395,457,733,195,1663,0.030689257204551817,0.124355474673946,0.2124627113026184,0.0518716577540106,0.2211035038260169,1.1171058270648917,0.1026412115756125,1.109536490284689,0.8978248793887902,2759794,Amsterdam,NL,52.37403,4.88969,0.7624647603705195,amsterdam,,,global,0.011844032802657226,0.48382676042477507,0.6954643628509719,0.6261310170104958,1.5932941071751356,1593.2941071751357,9559.764643050814,1.0,1433.964696457622,9081.776410898272
38,38,473.05479077663495,3172394,Naples,IT,40.85216,14.26811,909048,401,1854,163,1345,0.027114932937108413,0.1073703366696997,0.5840238647663242,0.0433155080213903,0.1784132098268224,1.1812269749550848,0.0838448185630199,1.2553014922562165,0.9419707890827821,3191281,Sarajevo,BA,43.84864,18.35644,0.0166782355310227,sarajevo,-0.4240714012580953,-0.5819941085397204,city,-0.4240714012580953,0.22519460940652894,0.05831533477321814,0.054288816503800214,1.1330083565312663,1133.0083565312664,6798.050139187598,0.021874106710083125,1130.5300019618483,6790.615075479343
39,44,210.34825244238854,709717,Donetsk,UA,48.023,37.80224,901645,230,267,4,732,0.026628048241506386,0.0555050045495905,0.0580046403712296,0.0008021390374331,0.09612028460196,1.0449039308040002,0.0293975827067912,1.044504294741697,0.8323695145880801,709930,Dnipro,UA,48.46664,35.04066,0.0765259701801124,dnipro,-0.6957218116486716,-0.7865517503463348,city,-0.6957218116486716,0.06402222486895265,0.4269772703897975,0.40394605181920745,1.2613443780483584,1261.3443780483585,7568.06626829015,0.10036656663702678,1248.6846975911956,7530.087226918661
40,49,386.8147113897941,2995469,Marseille,FR,43.29695,5.38107,877215,869,422,327,2668,0.025021322169163068,0.2493175614194722,0.1093801789857474,0.0871657754010695,0.3560209424083769,1.171466572648833,0.1678223255032617,1.0637691293296294,0.9298953039047653,3173435,Milan,IT,45.46427,9.18951,0.1948230426795255,milan,0.6076977517425448,0.14228026358577445,city,0.6076977517425448,0.8373515888211174,0.43628509719222464,0.5609844372059355,1.6292349524265977,1629.2349524265976,9775.409714559586,0.25551743871395616,1587.6051582158677,9650.520331927397
41,1,57.49245821425989,2747891,Rotterdam,NL,51.9225,4.47917,868135,543,503,1008,1477,0.02442414358803833,0.1504397937518956,0.1362280411004308,0.2692513368983957,0.1961337092227144,1.1175094844712237,0.2473160485956913,1.0740305313106029,0.8858969845454274,2759794,Amsterdam,NL,52.37403,4.88969,0.7624647603705195,amsterdam,,,global,0.011844032802657226,0.48382676042477507,0.6954643628509719,0.6261310170104958,1.5932941071751356,1593.2941071751357,9559.764643050814,1.0,1433.964696457622,9081.776410898272
42,49,125.48353933254404,3165524,Turin,IT,45.07049,7.68682,847287,425,1074,46,3317,0.02305300051983475,0.1146496815286624,0.3254888962545575,0.0120320855614973,0.4431467311048463,1.133887588168109,0.141366479224502,1.148637958917691,0.8961598356551604,3173435,Milan,IT,45.46427,9.18951,0.1948230426795255,milan,0.6076977517425448,0.14228026358577445,city,0.6076977517425448,0.8373515888211174,0.43628509719222464,0.5609844372059355,1.6292349524265977,1629.2349524265976,9775.409714559586,0.25551743871395616,1587.6051582158677,9650.520331927397
43,4,302.0162239441776,2509954,Valencia,ES,39.47391,-0.37966,824340,498,1436,268,2073,0.021543809231170722,0.1367910221413406,0.445475638051044,0.0713903743315508,0.276144448919318,1.171169740895013,0.1328165967078809,1.1954253026053543,0.922532356252793,3117735,Madrid,ES,40.4165,-3.70256,0.2865043579764861,madrid,0.08886285608365685,-0.14618037798784608,city,0.08886285608365685,0.5295226509063288,0.3628509719222462,0.5971769815418023,1.4612858284270391,1461.2858284270392,8767.714970562234,0.3757607864227842,1406.376437219218,8602.986796938769
44,36,0.0,304922,Malatya,TR,38.35018,38.31667,806156,81,220,1,16,0.02034787362333237,0.0103124052168638,0.0424262512429565,0.0,0.0,1.0146726933787096,0.0,1.0332487993958486,0.7971357755683857,304922,Malatya,TR,38.35018,38.31667,0.0,malatya,-0.8036290298093237,-0.7333530118949918,city,-0.8036290298093237,0.0,0.03455723542116631,0.5971769815418023,1.0752684540937052,1075.2684540937053,6451.610724562232,0.0,1075.2684540937053,6451.610724562232
45,42,200.55776412572783,6955677,Çankaya,TR,39.9179,32.86268,792189,641,1759,60,1202,0.01942928405917277,0.1801637852593266,0.5525356314219423,0.0157754010695187,0.1592160021479393,1.2186053974399844,0.0588075813930448,1.2365576798161153,0.9553881513200678,315202,Eskişehir,TR,39.77667,30.52056,0.0071689305458938,eskisehir,-0.6440068318904578,-0.7333530118949918,city,-0.6440068318904578,0.09470514042928548,0.03455723542116631,0.5971769815418023,1.1178857672868836,1117.8857672868835,6707.314603721302,0.009402310662082351,1116.8346963600084,6704.161390940676
46,42,0.0,315202,Eskişehir,TR,39.77667,30.52056,789023,201,602,18,115,0.019221060778573548,0.0467091295116772,0.1690420947961551,0.0045454545454545,0.013290374546919,1.0618338966662373,0.0071689305458938,1.082993686541321,0.8320921767626778,315202,Eskişehir,TR,39.77667,30.52056,0.0071689305458938,eskisehir,-0.6440068318904578,-0.7333530118949918,city,-0.6440068318904578,0.09470514042928548,0.03455723542116631,0.5971769815418023,1.1178857672868836,1117.8857672868835,6707.314603721302,0.009402310662082351,1116.8346963600084,6704.161390940676
47,19,184.94633313741238,3093133,Łódź,PL,51.77058,19.47395,768755,354,412,48,1761,0.017888063478767802,0.0931149529875644,0.1060656281073914,0.012566844919786,0.2342596321653913,1.077082097414017,0.0790746810934676,1.0567367020259708,0.8415286706886888,3081368,Wrocław,PL,51.10286,17.03006,0.1161766644196579,wroc aw,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.15236988049546302,1216.826541786571,7357.4421950945925
48,37,0.0,315368,Erzurum,TR,39.90861,41.27694,767848,76,172,8,34,0.017828411389221532,0.0087958750379132,0.0265164070268478,0.0018716577540106,0.0024164317358034,1.0105808064281174,0.0020350899485485,1.0248692919221165,0.7894654429494286,315368,Erzurum,TR,39.90861,41.27694,0.0020350899485485,erzurum,-0.7846116078851637,-0.7333530118949918,city,-0.7846116078851637,0.011283190166608264,0.03455723542116631,0.5971769815418023,1.0803458896686788,1080.3458896686789,6482.075338012073,0.0026690937789171382,1080.0575352193596,6481.210274664115
