geonameid,city,country,lat,lon,hub_score,city_key,rent_score_city,rent_score_country,rent_source_used,rent_score_used,rent_n,labour_n,tax_n,fixed_mult,fixed_cost_hub,fixed_cost_dc,hub_score_n,fixed_cost_hub_eff,fixed_cost_dc_eff
3169070,Rome,IT,41.89193,12.51133,0.2381764124388085,rome,0.3502530542177252,0.14228026358577445,city,0.3502530542177252,0.6846075685673948,0.43628509719222464,0.5609844372059355,1.5605001433124224,1560.5001433124223,9363.000859874533,0.31237694490046564,1511.753716583955,9216.761579689131
2655603,Birmingham,GB,52.48142,-1.89983,0.2354397604243616,birmingham,0.28971767872235743,0.290795647747884,city,0.28971767872235743,0.6486914409111252,0.4269772703897975,0.40394605181920745,1.5244455252673361,1524.445525267336,9146.673151604016,0.3087877271992869,1477.3725183686936,9005.454130908089
3081368,Wrocław,PL,51.10286,17.03006,0.1161766644196579,wroc aw,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.15236988049546302,1216.826541786571,7357.4421950945925
3094802,Kraków,PL,50.06143,19.93658,0.1035502378742292,krakow,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.13580986723099045,1218.8727867640946,7363.580930027163
325363,Adana,TR,36.98615,35.32531,0.0244843545736677,adana,-0.7513752359640133,-0.7333530118949918,city,-0.7513752359640133,0.031002598314041632,0.03455723542116631,0.5971769815418023,1.089219623335024,1089.219623335024,6535.317740010144,0.032112113039518754,1085.7219089680843,6524.824596909325
2643123,Manchester,GB,53.48095,-2.23743,0.2360372242478802,manchester,0.40822145963005646,0.290795647747884,city,0.40822145963005646,0.7190006921217206,0.4269772703897975,0.40394605181920745,1.556084688312104,1556.084688312104,9336.508129872624,0.30957132252666736,1507.9127688196766,9191.992371395341
727011,Sofia,BG,42.69751,23.32415,0.0802187064552324,sofia,-0.25187080926165734,-0.5710465083676255,city,-0.25187080926165734,0.3273626127272078,0.1533477321814255,0.054288816503800214,1.2217485368592649,1221.748536859265,7330.491221155589,0.10520972328773613,1208.894554310249,7291.929273508542
3067696,Prague,CZ,50.08804,14.42076,0.1456190114166708,prague,,,global,0.011844032802657226,0.48382676042477507,0.25053995680345575,0.4524068041983351,1.3757057031725375,1375.7057031725376,8254.234219035225,0.19098457920325038,1349.4318456897456,8175.412646586849
683506,Bucharest,RO,44.43225,26.10626,0.0905574053295026,bucharest,-0.24245950407850103,-0.5208008482624129,city,-0.24245950407850103,0.3329464161744371,0.20950323974082077,0.27144408251900104,1.2712467534137661,1271.246753413766,7627.480520482597,0.11876929929915221,1256.1482447998387,7582.184994640815
2761369,Vienna,AT,48.20849,16.37208,0.2572526549520698,vienna,0.40426574494695056,0.3399540622495493,city,0.40426574494695056,0.7166537346217859,0.6544276457883369,0.5247918928700687,1.669465810471562,1669.465810471562,10016.794862829373,0.3373961241527516,1613.1386810856984,9847.813474671782
